2020-01-01 08:00:00	110	rec	10002
2020-01-01 08:10:00	110	look	10001
2020-01-01 08:20:00	110	look	10002
2020-01-01 10:00:00	110	rec	10001
2020-01-01 12:10:00	110	look	10001
2020-01-01 12:20:00	110	look	10002
2020-01-01 12:30:00	110	look	10001
2020-01-01 12:30:00	110	buy	10001
2020-01-01 12:40:00	110	buy	10002
2020-01-01 12:45:00	110	look	10001
2020-01-01 12:50:00	110	buy	10001
2020-01-01 13:00:00	110	rec	10003
2020-01-01 13:10:00	110	buy	10003
2020-01-01 13:20:00	110	look	10003
2020-01-01 13:30:00	110	buy	10003
